ID,Name,Description,Price,Average Rating,Keyword
1,SKZOO Plush Original Ver.,"A cute plush toy
Material : POLYESTER
Size     : 13 X 25.5cm (By Wolf Chan version)",26,4.5,Plush
2,SKZOO Plush Mini Ver.,"A mini version of the plush
Material : POLYESTER
Size     : 9 X 19cm (By Wolf Chan version)",20,5,Plush
3,SKZOO Plush 10cm Ver.,"A small plush toy
Material : POLYESTER
Size     : 6 X 10.2cm (based on Wolf Chan)",16,5,Plush
4,SKZOO Plush TeddyBear Ver.,"A big plush toy
Material : POLYESTER, PAPER
Size     : PLUSH - 58 X 30cm (based on Wolf Chan)
           PASSPORT - 8.8 X 12.5cm",25,5,Plush
5,SKZOO Stress Ball,"A stress ball character
Material : POLYESTER, POLYURETHANE, COTTON
Size     : 8 X 9 X 6cm (based on Wolf Chan)",21,5,Toy
6,SKZOO Magnet Plush Keyring Baby Ver.,"A magnet keyring of skzoo character
Material : POLYESTER, METAL, MAGNET
Size     : 6 X 12.5 X 5cm (based on Wolf Chan)",20,5,Toy
7,SKZOO Dangle Keyring,"A dangle keyring of skzoo character
Material : ACRYLIC, METAL
Size     : 3.5 X 5.8cm (based on Wolf Chan)",7,5,Toy
8,SKZOO Plush Outfit 10cm Ver.,"An outfit for skzoo 10cm ver. characters
Material : POLYESTER
Size     : 9.5 X 9.5cm",20,5,Plush Outfit
